user,standard_answer,status,most_similar_existing
Which metals are available?,"Yes, HFM offers CFDs on precious metals. You can trade:  Gold (against USD and EUR)  Silver (against USD and EUR)  Platinum  Palladium",,
Can I trade metals?,"Yes, HFM offers CFDs on precious metals. You can trade:  Gold (against USD and EUR)  Silver (against USD and EUR)  Platinum  Palladium",,
What energy CFDs can I trade?,"es, HFM offers CFDs on energies. You can trade UK Brent Oil (BRENT) and US Crude Oil (WTI).",,
Which energy products are available?,"es, HFM offers CFDs on energies. You can trade UK Brent Oil (BRENT) and US Crude Oil (WTI).",,
Can I trade energy commodities?,"es, HFM offers CFDs on energies. You can trade UK Brent Oil (BRENT) and US Crude Oil (WTI).",,
Can I trade bonds?,"Yes, HFM offers CFDs on Bonds issued by the world's leading economies, with examples including the UK and US.",,
How many markets are available?,HFM provides access to over 500 markets for trading CFDs.,,
Total number of markets?,HFM provides access to over 500 markets for trading CFDs.,,
How many markets does HFM offer?,HFM provides access to over 500 markets for trading CFDs.,,
What is the trading commission for stock CFDs?,"The trading commission for stock CFDs (e.g., on the Premium, Zero, and Pro accounts) is listed as 0.10 USD per Share Round Turn.",,
Stock CFD commission rate?,"The trading commission for stock CFDs (e.g., on the Premium, Zero, and Pro accounts) is listed as 0.10 USD per Share Round Turn.",,
How much commission for stocks?,"The trading commission for stock CFDs (e.g., on the Premium, Zero, and Pro accounts) is listed as 0.10 USD per Share Round Turn.",,
What is the margin requirement for stock CFDs?,"The margin requirement for stock CFDs (e.g., on the Premium, Zero, and Pro accounts) is listed as 20%.",,
Stock CFD margin requirement?,"The margin requirement for stock CFDs (e.g., on the Premium, Zero, and Pro accounts) is listed as 20%.",,
How much margin for stocks?,"The margin requirement for stock CFDs (e.g., on the Premium, Zero, and Pro accounts) is listed as 20%.",,
Are stocks swap-free?,"No, stock CFDs are generally not swap-free. Swap fees (rollover interest) are applied for positions held overnight. You can calculate the specific swap fee for any stock using the Swaps Calculator on the HFM website.",,
Do stocks have swap fees?,"No, stock CFDs are generally not swap-free. Swap fees (rollover interest) are applied for positions held overnight. You can calculate the specific swap fee for any stock using the Swaps Calculator on the HFM website.",,
Is there swap on stock CFDs?,"No, stock CFDs are generally not swap-free. Swap fees (rollover interest) are applied for positions held overnight. You can calculate the specific swap fee for any stock using the Swaps Calculator on the HFM website.",,
Which HFM entity is regulated by CySEC?,HF Markets (Europe) Ltd is authorized and regulated by the Cyprus Securities and Exchange Commission (CySEC) under license number 183/12.,,
HFM CySEC entity?,HF Markets (Europe) Ltd is authorized and regulated by the Cyprus Securities and Exchange Commission (CySEC) under license number 183/12.,,
What's the CySEC regulated entity?,HF Markets (Europe) Ltd is authorized and regulated by the Cyprus Securities and Exchange Commission (CySEC) under license number 183/12.,,
Which HFM entity is regulated by the FCA in the UK?,HF Markets (UK) Ltd is authorized and regulated by the Financial Conduct Authority (FCA) under firm reference number 801701.,,
HFM UK entity?,HF Markets (UK) Ltd is authorized and regulated by the Financial Conduct Authority (FCA) under firm reference number 801701.,,
What's the FCA regulated entity?,HF Markets (UK) Ltd is authorized and regulated by the Financial Conduct Authority (FCA) under firm reference number 801701.,,
Which HFM entity is regulated by the FSCA in South Africa?,"HF Markets SA (PTY) Ltd is an authorized Financial Service Provider from the Financial Sector Conduct Authority (FSCA) in South Africa, with authorization number 46632.",,
HFM South Africa entity?,"HF Markets SA (PTY) Ltd is an authorized Financial Service Provider from the Financial Sector Conduct Authority (FSCA) in South Africa, with authorization number 46632.",,
What's the FSCA regulated entity?,"HF Markets SA (PTY) Ltd is an authorized Financial Service Provider from the Financial Sector Conduct Authority (FSCA) in South Africa, with authorization number 46632.",,
Which HFM entity is regulated by the FSA in Seychelles?,HF Markets (Seychelles) Ltd is regulated by the Seychelles Financial Services Authority (FSA) with Securities Dealer's License number SD015.,,
HFM Seychelles entity?,HF Markets (Seychelles) Ltd is regulated by the Seychelles Financial Services Authority (FSA) with Securities Dealer's License number SD015.,,
What's the FSA Seychelles entity?,HF Markets (Seychelles) Ltd is regulated by the Seychelles Financial Services Authority (FSA) with Securities Dealer's License number SD015.,,
Which HFM entity is regulated by the CMA in Kenya?,HFM Investments Ltd is authorized by the Capital Markets Authority (CMA) in the Republic of Kenya as a non-dealing online foreign exchange broker with licence no. 155.,,
HFM Kenya entity?,HFM Investments Ltd is authorized by the Capital Markets Authority (CMA) in the Republic of Kenya as a non-dealing online foreign exchange broker with licence no. 155.,,
What's the CMA regulated entity?,HFM Investments Ltd is authorized by the Capital Markets Authority (CMA) in the Republic of Kenya as a non-dealing online foreign exchange broker with licence no. 155.,,
Which HFM entity is regulated by the DFSA in Dubai?,HF Markets (DIFC) Ltd is authorised and regulated by the Dubai Financial Services Authority (DFSA) under license number F004885.,,
HFM Dubai entity?,HF Markets (DIFC) Ltd is authorised and regulated by the Dubai Financial Services Authority (DFSA) under license number F004885.,,
What's the DFSA regulated entity?,HF Markets (DIFC) Ltd is authorised and regulated by the Dubai Financial Services Authority (DFSA) under license number F004885.,,
What is the HF Markets (SV) Ltd entity?,HF Markets (SV) Ltd is incorporated in St. Vincent & the Grenadines as an International Business Company (registration number 22747 IBC 2015). This entity operates the website.,,
Tell me about HF Markets SV Ltd,HF Markets (SV) Ltd is incorporated in St. Vincent & the Grenadines as an International Business Company (registration number 22747 IBC 2015). This entity operates the website.,,
What's the SVG entity?,HF Markets (SV) Ltd is incorporated in St. Vincent & the Grenadines as an International Business Company (registration number 22747 IBC 2015). This entity operates the website.,,
What does the EUR 5 Million insurance cover?,"HFM maintains this insurance program to further safeguard its liabilities against Clients against risks such as fraud, errors, and omissions.",,
What's covered by the 5 million insurance?,"HFM maintains this insurance program to further safeguard its liabilities against Clients against risks such as fraud, errors, and omissions.",,
Tell me about the EUR 5M insurance,"HFM maintains this insurance program to further safeguard its liabilities against Clients against risks such as fraud, errors, and omissions.",,
Can I view the insurance certificate?,"Yes, the 'Security of Funds' page provides a link to 'View Insurance Certificate'.",,
How do I see the insurance certificate?,"Yes, the 'Security of Funds' page provides a link to 'View Insurance Certificate'.",,
Where is the insurance certificate?,"Yes, the 'Security of Funds' page provides a link to 'View Insurance Certificate'.",,
Who audits HFM?,HFM is audited by Deloitte.,,
Which company audits HFM?,HFM is audited by Deloitte.,,
What's HFM's auditor?,HFM is audited by Deloitte.,,
What banks does HFM use?,HFM states that 'Only Major Banks are used' for holding funds.,,
Which banks hold HFM funds?,HFM states that 'Only Major Banks are used' for holding funds.,,
Tell me about HFM's banking partners,HFM states that 'Only Major Banks are used' for holding funds.,,
What are Stop Out & Take Profit levels?,"These are safety measures that step in to close your trades if the market moves against you, helping to ensure your full balance is not lost.",,
Does HFM use Proactive Risk Management?,"Yes, HFM states that the Company continually monitors the risks associated with its operations and assesses the effectiveness of its policies.",,
Is there proactive risk management?,"Yes, HFM states that the Company continually monitors the risks associated with its operations and assesses the effectiveness of its policies.",,
Does HFM monitor risks?,"Yes, HFM states that the Company continually monitors the risks associated with its operations and assesses the effectiveness of its policies.",,
What promotions are currently available?,"As of October 2025, promotions include BATTLE OF THE ELITE, DIWALI DELIGHTS, THE FAST 5, GOLDEN OCTOBER, Pro Trade Challenge, Traders Awards 2025, 100% Deposit Bonus, and more.",,
What are the current promotions?,"As of October 2025, promotions include BATTLE OF THE ELITE, DIWALI DELIGHTS, THE FAST 5, GOLDEN OCTOBER, Pro Trade Challenge, Traders Awards 2025, 100% Deposit Bonus, and more.",,
Which promotions are running now?,"As of October 2025, promotions include BATTLE OF THE ELITE, DIWALI DELIGHTS, THE FAST 5, GOLDEN OCTOBER, Pro Trade Challenge, Traders Awards 2025, 100% Deposit Bonus, and more.",,
What is the 'BATTLE OF THE ELITE' promotion?,"This is a trading competition for clients in Ghana and Nigeria (Round 2). Traders can win cash prizes (e.g., up to 55,000 GHS or 7.7M NGN) by climbing the leaderboard or entering a lucky draw.",,
Tell me about BATTLE OF THE ELITE,"This is a trading competition for clients in Ghana and Nigeria (Round 2). Traders can win cash prizes (e.g., up to 55,000 GHS or 7.7M NGN) by climbing the leaderboard or entering a lucky draw.",,
How does BATTLE OF THE ELITE work?,"This is a trading competition for clients in Ghana and Nigeria (Round 2). Traders can win cash prizes (e.g., up to 55,000 GHS or 7.7M NGN) by climbing the leaderboard or entering a lucky draw.",,
What is the 'DIWALI DELIGHTS' promotion?,"This promotion celebrates Diwali with $100K in rewards, including Gold Bars worth up to $6,000 or guaranteed cash prizes up to $500. It ends on October 31.",,
Tell me about DIWALI DELIGHTS,"This promotion celebrates Diwali with $100K in rewards, including Gold Bars worth up to $6,000 or guaranteed cash prizes up to $500. It ends on October 31.",,
How does DIWALI DELIGHTS work?,"This promotion celebrates Diwali with $100K in rewards, including Gold Bars worth up to $6,000 or guaranteed cash prizes up to $500. It ends on October 31.",,
What is 'THE FAST 5' promotion?,This is a speed competition where the first 5 traders to hit 150 lots win $500 in cash.,,
Tell me about THE FAST 5,This is a speed competition where the first 5 traders to hit 150 lots win $500 in cash.,,
How does THE FAST 5 work?,This is a speed competition where the first 5 traders to hit 150 lots win $500 in cash.,,
What is the 'Traders Cup' promotion?,"In October, this competition allows participants to compete for prizes like an all-expenses-paid trip to the Copa Libertadores Final, tech gear, and cash.",,
Tell me about Traders Cup,"In October, this competition allows participants to compete for prizes like an all-expenses-paid trip to the Copa Libertadores Final, tech gear, and cash.",,
How does Traders Cup work?,"In October, this competition allows participants to compete for prizes like an all-expenses-paid trip to the Copa Libertadores Final, tech gear, and cash.",,
What is the 'GOLDEN OCTOBER FESTIVAL'?,"In this promotion (ending October 31), clients trade Gold to earn points and redeem lucky draw tickets for a chance to win up to $15,000 in real gold.",,
Tell me about GOLDEN OCTOBER FESTIVAL,"In this promotion (ending October 31), clients trade Gold to earn points and redeem lucky draw tickets for a chance to win up to $15,000 in real gold.",,
How does GOLDEN OCTOBER work?,"In this promotion (ending October 31), clients trade Gold to earn points and redeem lucky draw tickets for a chance to win up to $15,000 in real gold.",,
What is the 'Traders Awards 2025'?,"The Traders Awards is a monthly contest. Every month, the trader who achieves the greatest percentage gain on their Live Premium Account wins:  $1,000 in cash  The HFM Crystal Obelisk  Entry into the Hall of Fame  To join, you must opt-in before the 7th business day of the month and have a minimum account balance of $500.",,
Tell me about Traders Awards 2025,"The Traders Awards is a monthly contest. Every month, the trader who achieves the greatest percentage gain on their Live Premium Account wins:  $1,000 in cash  The HFM Crystal Obelisk  Entry into the Hall of Fame  To join, you must opt-in before the 7th business day of the month and have a minimum account balance of $500.",,
How does Traders Awards work?,"The Traders Awards is a monthly contest. Every month, the trader who achieves the greatest percentage gain on their Live Premium Account wins:  $1,000 in cash  The HFM Crystal Obelisk  Entry into the Hall of Fame  To join, you must opt-in before the 7th business day of the month and have a minimum account balance of $500.",,
What is the 'Pro Trade Challenge'?,"The Pro Trade Challenge is a promotion with 4 rounds, 30 winners, and over $11,000 in prizes. Traders are invited to trade, climb the ranks, and win big. The specific rounds are revealed shortly before they begin.",,
Tell me about Pro Trade Challenge,"The Pro Trade Challenge is a promotion with 4 rounds, 30 winners, and over $11,000 in prizes. Traders are invited to trade, climb the ranks, and win big. The specific rounds are revealed shortly before they begin.",,
How does Pro Trade Challenge work?,"The Pro Trade Challenge is a promotion with 4 rounds, 30 winners, and over $11,000 in prizes. Traders are invited to trade, climb the ranks, and win big. The specific rounds are revealed shortly before they begin.",,
"What is the 'FINISH FIRST, WIN BIG' promotion?","""FINISH FIRST, WIN BIG"" is an exclusive trading contest for clients in Vietnam. It features 4 exciting rounds of trading with a total prize pool of over 800M VND and 124 winners. In each round, the top trader (by lots traded) wins 26M VND, and the next 30 traders each receive 6M VND.",,
"Tell me about FINISH FIRST, WIN BIG","""FINISH FIRST, WIN BIG"" is an exclusive trading contest for clients in Vietnam. It features 4 exciting rounds of trading with a total prize pool of over 800M VND and 124 winners. In each round, the top trader (by lots traded) wins 26M VND, and the next 30 traders each receive 6M VND.",,
"How does FINISH FIRST, WIN BIG work?","""FINISH FIRST, WIN BIG"" is an exclusive trading contest for clients in Vietnam. It features 4 exciting rounds of trading with a total prize pool of over 800M VND and 124 winners. In each round, the top trader (by lots traded) wins 26M VND, and the next 30 traders each receive 6M VND.",,
Are there promotions for partners?,"Yes, HFM offers several exclusive promotions for partners. These include:  Road to Success: A year-long car giveaway where partners can win luxury cars like a Mercedes-Benz, BMW, or Honda Civic by hitting targets and growing their network.  The Partners Ascent: A promotion where partners can win a Lamborghini, Patek Philippe, Rolex, and more by referring clients and growing volume.  HFM VIETNAM LOYALTY PROGRAM: A program for partners in Vietnam to unlock luxury rewards like a Ford Ranger Raptor or Rolex by achieving milestones.  PARTNERS AUTUMN HARVEST FESTIVAL: A promotion for partners to enter a JPY 15M lucky draw by referring new clients and growing their network's volume.  NIGERIA ELITE AFFILIATE PROMOTION VOL. 2: A promotion for partners in Nigeria with a $200,000 prize pool.  Race to the Top: A lucky draw for partners with a VND 500M+ prize pool.
Road to Success: A year-long car giveaway where partners can win luxury cars like a Mercedes-Benz, BMW, or Honda Civic by hitting targets and growing their network.
The Partners Ascent: A promotion where partners can win a Lamborghini, Patek Philippe, Rolex, and more by referring clients and growing volume.
HFM VIETNAM LOYALTY PROGRAM: A program for partners in Vietnam to unlock luxury rewards like a Ford Ranger Raptor or Rolex by achieving milestones.
PARTNERS AUTUMN HARVEST FESTIVAL: A promotion for partners to enter a JPY 15M lucky draw by referring new clients and growing their network's volume.
NIGERIA ELITE AFFILIATE PROMOTION VOL. 2: A promotion for partners in Nigeria with a $200,000 prize pool.
Race to the Top: A lucky draw for partners with a VND 500M+ prize pool.
",,
Do you have partner promotions?,"Yes, HFM offers several exclusive promotions for partners. These include:
Road to Success: A year-long car giveaway where partners can win luxury cars like a Mercedes-Benz, BMW, or Honda Civic by hitting targets and growing their network.
The Partners Ascent: A promotion where partners can win a Lamborghini, Patek Philippe, Rolex, and more by referring clients and growing volume.
HFM VIETNAM LOYALTY PROGRAM: A program for partners in Vietnam to unlock luxury rewards like a Ford Ranger Raptor or Rolex by achieving milestones.
PARTNERS AUTUMN HARVEST FESTIVAL: A promotion for partners to enter a JPY 15M lucky draw by referring new clients and growing their network's volume.
NIGERIA ELITE AFFILIATE PROMOTION VOL. 2: A promotion for partners in Nigeria with a $200,000 prize pool.
Race to the Top: A lucky draw for partners with a VND 500M+ prize pool.
",,
What promotions are available for partners?,"Yes, HFM offers several exclusive promotions for partners. These include:  Road to Success: A year-long car giveaway where partners can win luxury cars like a Mercedes-Benz, BMW, or Honda Civic by hitting targets and growing their network.  The Partners Ascent: A promotion where partners can win a Lamborghini, Patek Philippe, Rolex, and more by referring clients and growing volume.  HFM VIETNAM LOYALTY PROGRAM: A program for partners in Vietnam to unlock luxury rewards like a Ford Ranger Raptor or Rolex by achieving milestones.  PARTNERS AUTUMN HARVEST FESTIVAL: A promotion for partners to enter a JPY 15M lucky draw by referring new clients and growing their network's volume.  NIGERIA ELITE AFFILIATE PROMOTION VOL. 2: A promotion for partners in Nigeria with a $200,000 prize pool.  Race to the Top: A lucky draw for partners with a VND 500M+ prize pool.
Road to Success: A year-long car giveaway where partners can win luxury cars like a Mercedes-Benz, BMW, or Honda Civic by hitting targets and growing their network.
The Partners Ascent: A promotion where partners can win a Lamborghini, Patek Philippe, Rolex, and more by referring clients and growing volume.
HFM VIETNAM LOYALTY PROGRAM: A program for partners in Vietnam to unlock luxury rewards like a Ford Ranger Raptor or Rolex by achieving milestones.
PARTNERS AUTUMN HARVEST FESTIVAL: A promotion for partners to enter a JPY 15M lucky draw by referring new clients and growing their network's volume.
NIGERIA ELITE AFFILIATE PROMOTION VOL. 2: A promotion for partners in Nigeria with a $200,000 prize pool.
Race to the Top: A lucky draw for partners with a VND 500M+ prize pool.
",,
What is the 'Road to Success' partner promotion?,"This is a year-long (Jan 7 to Dec 26) promotion where partners can win rewards like a Mercedes-Benz, BMW, or Honda Civic by hitting targets and growing their network.",,
Tell me about Road to Success,"This is a year-long (Jan 7 to Dec 26) promotion where partners can win rewards like a Mercedes-Benz, BMW, or Honda Civic by hitting targets and growing their network.",,
How does Road to Success work?,"This is a year-long (Jan 7 to Dec 26) promotion where partners can win rewards like a Mercedes-Benz, BMW, or Honda Civic by hitting targets and growing their network.",,
What is the 'PARTNERS AUTUMN HARVEST FESTIVAL'?,"This is a promotion for partners, offering a JPY 15M lucky draw with 69 winners (top prize JPY 3M) for referring new clients and growing volume.",,
Tell me about PARTNERS AUTUMN HARVEST FESTIVAL,"This is a promotion for partners, offering a JPY 15M lucky draw with 69 winners (top prize JPY 3M) for referring new clients and growing volume.",,
How does AUTUMN HARVEST FESTIVAL work?,"This is a promotion for partners, offering a JPY 15M lucky draw with 69 winners (top prize JPY 3M) for referring new clients and growing volume.",,
What is the 'HFM VIETNAM LOYALTY PROGRAM' for partners?,This is a year-long loyalty program for partners in Vietnam to win luxury rewards like a Ford Ranger Raptor or Rolex by achieving milestones.,,
Tell me about HFM VIETNAM LOYALTY PROGRAM,This is a year-long loyalty program for partners in Vietnam to win luxury rewards like a Ford Ranger Raptor or Rolex by achieving milestones.,,
How does Vietnam loyalty program work?,This is a year-long loyalty program for partners in Vietnam to win luxury rewards like a Ford Ranger Raptor or Rolex by achieving milestones.,,
Can I buy HFM merchandise?,"Yes, HFM offers its branded merchandise, including a wide range of high-quality products, to its loyal traders and partners.",,
Is there HFM branded merchandise?,"Yes, HFM offers its branded merchandise, including a wide range of high-quality products, to its loyal traders and partners.",,
What is the main email for customer support?,The main support email is support@hfm.com.,,
Customer support email address?,The main support email is support@hfm.com.,,
How do I email support?,The main support email is support@hfm.com.,,
What is the main phone number for customer support?,The main global support phone number is +44-203 097 85 71.,,
Customer support phone number?,The main global support phone number is +44-203 097 85 71.,,
How do I call support?,The main global support phone number is +44-203 097 85 71.,,
Is Live Chat available?,"Yes, HFM offers Live Support (Live Chat) through its website.",,
Do you have live chat?,"Yes, HFM offers Live Support (Live Chat) through its website.",,
Can I chat with support?,"Yes, HFM offers Live Support (Live Chat) through its website.",,
What is the email for the Affiliates department?,You can contact the Affiliates department at affiliatesdept@hfm.com.,,
Affiliates department email?,You can contact the Affiliates department at affiliatesdept@hfm.com.,,
How do I contact affiliates team?,You can contact the Affiliates department at affiliatesdept@hfm.com.,,
What is the email for Introducing Brokers (IB)?,You can contact the IB team at ib@hfm.com.,,
IB team email address?,You can contact the IB team at ib@hfm.com.,,
How do I contact IB department?,You can contact the IB team at ib@hfm.com.,,
What is the email for White Label Partnerships?,You can contact this team at whitelabel@hfm.com.,,
White Label email address?,You can contact this team at whitelabel@hfm.com.,,
How do I contact White Label team?,You can contact this team at whitelabel@hfm.com.,,
What is the phone number for Account Managers?,The phone number for the Account Managers Department is +44-203 097 85 72.,,
Account Managers phone number?,The phone number for the Account Managers Department is +44-203 097 85 72.,,
How do I call Account Managers?,The phone number for the Account Managers Department is +44-203 097 85 72.,,
Is there dedicated support for Arabic-speaking clients?,"Yes, HFM provides an email for Arabic support: arabic@hfm.com.",,
Do you have Arabic support?,"Yes, HFM provides an email for Arabic support: arabic@hfm.com.",,
Arabic language support available?,"Yes, HFM provides an email for Arabic support: arabic@hfm.com.",,
Is there support for clients in Brazil?,"Yes, support for Brazil is available at +55-114 858 37 07 or support_portugues@latam.hfm.com.",,
Brazil support contact?,"Yes, support for Brazil is available at +55-114 858 37 07 or support_portugues@latam.hfm.com.",,
How do I contact Brazil support?,"Yes, support for Brazil is available at +55-114 858 37 07 or support_portugues@latam.hfm.com.",,
Is there support for clients in Mexico or Colombia?,"Yes, support for Mexico (+52-558 852 72 76) and Colombia (+57-602 389 60 18) is available via support_espanol@latam.hfm.com.",,
Mexico and Colombia support?,"Yes, support for Mexico (+52-558 852 72 76) and Colombia (+57-602 389 60 18) is available via support_espanol@latam.hfm.com.",,
How do I contact Spanish support?,"Yes, support for Mexico (+52-558 852 72 76) and Colombia (+57-602 389 60 18) is available via support_espanol@latam.hfm.com.",,
Is there support for clients in China or Taiwan?,"Yes, support is available via toll-free numbers (China: 4001-200742, Taiwan: 0080-149-1499) and email (supportcn@hfm.com).",,
China and Taiwan support?,"Yes, support is available via toll-free numbers (China: 4001-200742, Taiwan: 0080-149-1499) and email (supportcn@hfm.com).",,
How do I contact Chinese support?,"Yes, support is available via toll-free numbers (China: 4001-200742, Taiwan: 0080-149-1499) and email (supportcn@hfm.com).",,
Is there support for clients in India?,"Yes, support is available via a toll-free number (000800 9190 406) and email (supportin@hfm.com).",,
Is there support for clients in Nigeria?,"Yes, support is available via phone (+234-700 123 53 49 or +234-201 227 91 60) and email (nigeria@hfm.com).",,
Is there support for clients in Thailand?,"Yes, support is available via phone (+66-250 600 95) and email (supportth@hfm.com).",,
Is there support for clients in Malaysia?,"Yes, support is available via phone (+60-154 600 07 73) and email (supportmy@hfm.com).",,
Is there support for clients in the Philippines?,"Yes, support is available via phone (+63-284 651 240) and email (supportph@hfm.com).",,
Is there support for clients in Vietnam?,"Yes, support is available via email (supportvn@hfm.com).",,
Is there support for clients in Korea?,"Yes, support is available via email (kr@hfm.com).",,
Is there support for clients in Indonesia?,"Yes, support is available via phone (+62-213 051 35 00) and email (supportind@hfm.com).",,
What is the fax number for the Trading Desk?,The fax number for the Trading Desk is +44-203 097 85 70.,,
What topics does the HFM E-Course in Forex cover?,"This step-by-step guide covers the basics of Forex theory and trading, reading financial charts, trading strategies, and the right trading psychology.",,
What kind of educational videos does HFM offer?,"HFM offers over 20 educational and tutorial videos, and over 30 recorded Forex videos. They cover the basics of CFD trading, fundamental and technical analysis, and how psychology impacts trading.",,
What topics are covered in HFM's live webinars?,"Upcoming live webinars cover topics such as Live Analysis, Scalping Strategies, and Emotion Control in CFD trading. They are free to book.",,
What is the 'COMPLETE GUIDE TO TRADING GOLD'?,"This is a dedicated educational page that teaches why gold is considered a safe haven, factors that drive its price, and various ways to invest in gold.",,
Does HFM offer podcasts?,"Yes, podcasts are listed as one of HFM's educational resources.",,
Does HFM offer seminars?,"Yes, seminars and events are listed as part of HFM's educational offerings.",,
What can I find in the HFM Blog?,"The blog, listed under 'News & Analysis', provides market insights and articles.",,
What's in the HFM Blog?,"The blog, listed under 'News & Analysis', provides market insights and articles.",,
Does HFM have a blog?,"The blog, listed under 'News & Analysis', provides market insights and articles.",,
What is the Earnings Calendar?,The Earnings Calendar is a tool provided under the 'News & Analysis' section to track corporate earnings releases.,,
Tell me about the Earnings Calendar,The Earnings Calendar is a tool provided under the 'News & Analysis' section to track corporate earnings releases.,,
How does the Earnings Calendar work?,The Earnings Calendar is a tool provided under the 'News & Analysis' section to track corporate earnings releases.,,
When was the HF Markets Group founded?,The HF Markets Group was founded in 2010.,,
What year was HFM founded?,The HF Markets Group was founded in 2010.,,
HF Markets Group founding date?,The HF Markets Group was founded in 2010.,,
When did HFM introduce CFDs on DMA Stocks and ETFs?,CFDs on DMA Stocks and ETFs were introduced in 2020.,,
What year did HFM add DMA Stocks?,CFDs on DMA Stocks and ETFs were introduced in 2020.,,
When were DMA Stocks and ETFs launched?,CFDs on DMA Stocks and ETFs were introduced in 2020.,,
When did HFM launch its 24/7 Crypto CFD account?,The 24/7 Crypto CFD account was launched in 2025.,,
What year was 24/7 Crypto launched?,The 24/7 Crypto CFD account was launched in 2025.,,
When did 24/7 Crypto CFD start?,The 24/7 Crypto CFD account was launched in 2025.,,
Has HFM won any awards?,"Yes, the company has received numerous awards, receiving 10 awards in 2012, 11 new awards in 2018, and 11 new awards in 2021, among others.",,
Did HFM receive any awards?,"Yes, the company has received numerous awards, receiving 10 awards in 2012, 11 new awards in 2018, and 11 new awards in 2021, among others.",,
What awards has HFM won?,"Yes, the company has received numerous awards, receiving 10 awards in 2012, 11 new awards in 2018, and 11 new awards in 2021, among others.",,
Is HFM the same legal entity as HotForex?,"Yes. The company states, 'There will be no changes to our operations or legal entity. HFM is a new brand name of the HF Markets Group which includes [all listed] legal entities.'",,
Are HFM and HotForex the same company?,"Yes. The company states, 'There will be no changes to our operations or legal entity. HFM is a new brand name of the HF Markets Group which includes [all listed] legal entities.'",,
Is HotForex now HFM?,"Yes. The company states, 'There will be no changes to our operations or legal entity. HFM is a new brand name of the HF Markets Group which includes [all listed] legal entities.'",,
What legal documents can I review?,"HFM provides a list of legal documents for clients, including: Account Opening Agreement, Terms of Business, Privacy Policy, Anti Money Laundering Statement, Order Execution Policy, and Conflicts of Interest Policy.",,
Which legal documents are available?,"HFM provides a list of legal documents for clients, including: Account Opening Agreement, Terms of Business, Privacy Policy, Anti Money Laundering Statement, Order Execution Policy, and Conflicts of Interest Policy.",,
What legal docs does HFM provide?,"HFM provides a list of legal documents for clients, including: Account Opening Agreement, Terms of Business, Privacy Policy, Anti Money Laundering Statement, Order Execution Policy, and Conflicts of Interest Policy.",,
Are there documents explaining the risks?,"Yes, HFM provides several risk-related documents: 'Risks Associated with Transactions in Derivative Financial Instruments (CFDs)', 'Trading and Execution Risks', 'Risk Disclaimer', and 'General Risk Disclosure'.",,
Does HFM have risk disclosure documents?,"Yes, HFM provides several risk-related documents: 'Risks Associated with Transactions in Derivative Financial Instruments (CFDs)', 'Trading and Execution Risks', 'Risk Disclaimer', and 'General Risk Disclosure'.",,
Where can I find risk information?,"Yes, HFM provides several risk-related documents: 'Risks Associated with Transactions in Derivative Financial Instruments (CFDs)', 'Trading and Execution Risks', 'Risk Disclaimer', and 'General Risk Disclosure'.",,
Is there a glossary of terms?,"Yes, HFM provides a 'Terms of Business Glossary'.",,
Does HFM have a glossary?,"Yes, HFM provides a 'Terms of Business Glossary'.",,
Where is the terms glossary?,"Yes, HFM provides a 'Terms of Business Glossary'.",,
What is HFM's policy on complaints?,HFM provides a 'Complaint Handling' document in its legal section.,,
How does HFM handle complaints?,HFM provides a 'Complaint Handling' document in its legal section.,,
Where is the complaints policy?,HFM provides a 'Complaint Handling' document in its legal section.,,
Where can I find the 'Accounts' information on the website?,"'Accounts' is listed as a sub-link under the main navigation header 'Trading'. Specific account types (Premium, Cent, Zero, Pro) are also listed in the footer.",,
How do I find Accounts page?,"'Accounts' is listed as a sub-link under the main navigation header 'Trading'. Specific account types (Premium, Cent, Zero, Pro) are also listed in the footer.",,
Where is Accounts information?,"'Accounts' is listed as a sub-link under the main navigation header 'Trading'. Specific account types (Premium, Cent, Zero, Pro) are also listed in the footer.",,
Where can I find 'Platforms' information?,"'Platforms' is listed as a sub-link under the main navigation header 'Trading'. HFM Platform, MT4, and MT5 are also listed in the footer.",,
How do I find Platforms page?,"'Platforms' is listed as a sub-link under the main navigation header 'Trading'. HFM Platform, MT4, and MT5 are also listed in the footer.",,
Where is Platforms information?,"'Platforms' is listed as a sub-link under the main navigation header 'Trading'. HFM Platform, MT4, and MT5 are also listed in the footer.",,
Where can I find 'Deposits & Withdrawals' information?,'Deposits & Withdrawals' is listed as a sub-link under the main navigation header 'Trading'. It is also listed in the footer.,,
How do I find Deposits & Withdrawals page?,'Deposits & Withdrawals' is listed as a sub-link under the main navigation header 'Trading'. It is also listed in the footer.,,
Where is deposit information?,'Deposits & Withdrawals' is listed as a sub-link under the main navigation header 'Trading'. It is also listed in the footer.,,
Where can I find 'About Us'?,"You can find all information about HFM in the ""About"" section, located in the main ""Company"" menu on the website. This section includes HFM's history, values, and company milestones.",,
How do I find About Us page?,"You can find all information about HFM in the ""About"" section, located in the main ""Company"" menu on the website. This section includes HFM's history, values, and company milestones.",,
Where is About Us information?,"You can find all information about HFM in the ""About"" section, located in the main ""Company"" menu on the website. This section includes HFM's history, values, and company milestones.",,
Where can I find 'Regulations and Licences'?,"You can find all information about HFM's regulatory bodies and licenses on the ""Regulations & Licenses"" page, which is located under the ""About"" or ""Company"" menu on the website.",,
